timestamp,price_ds,wind_log,consump_log_ds,north_wind_log,d_congested,north_wind_cong,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2025-02-13 01:00:00,0.13721469399695874,6.489204931325317,0.018523668706160734,7.628517626575055,1.0,7.628517626575055,-715.0,-789.6,0.0,7475.0,-4919.6
2025-02-13 02:00:00,0.07816619135438163,6.55250788703459,0.017594824894418437,7.707062655370473,1.0,7.707062655370473,-715.0,-655.1,0.0,7230.6,-4838.7
2025-02-13 03:00:00,0.09061183495100433,6.612041034833092,0.016075454110591636,7.736743682453495,1.0,7.736743682453495,-715.0,-558.3,0.0,7058.1,-4868.7
2025-02-13 04:00:00,0.06429542894563056,6.704414354964107,0.015063074905956597,7.748460023899697,1.0,7.748460023899697,-715.0,-579.4,0.0,7063.0,-4864.7
2025-02-13 05:00:00,0.10441403619826861,6.823286122355687,0.014795301239871606,7.739359202689098,1.0,7.739359202689098,-715.0,-1015.3,0.0,7505.2,-4848.6
2025-02-13 06:00:00,0.20190040849601854,6.927557906278317,0.012646182443667442,7.687080155783135,1.0,7.687080155783135,-389.8,-829.7,0.0,7741.5,-5080.3
2025-02-13 07:00:00,0.17003242731324786,7.004881989712859,0.012024588527303592,7.6676260915849905,1.0,7.6676260915849905,-362.9,-555.3,0.0,7450.6,-4399.5
2025-02-13 08:00:00,0.17719256449077037,7.048386408721883,0.010375973602673838,7.62657020629066,1.0,7.62657020629066,-135.8,-497.9,0.0,7338.2,-4686.7
2025-02-13 09:00:00,0.28933059176672327,7.119635638017636,0.012054624469110209,7.533158807455563,1.0,7.533158807455563,-377.8,-569.1,0.0,7529.6,-4751.8
2025-02-13 10:00:00,0.3168086657572502,7.206377291472252,0.017705849873852486,7.43543801981455,1.0,7.43543801981455,-88.1,-696.6,0.0,7287.7,-4939.9
2025-02-13 11:00:00,0.3593269458485411,7.261927092702751,0.023804601293621275,7.252053951852814,1.0,7.252053951852814,-115.0,-721.2,0.0,7213.9,-5078.7
2025-02-13 12:00:00,0.4198413199868387,7.271703706887368,0.027659538646062742,6.943122422819428,1.0,6.943122422819428,-715.0,-762.3,196.2,7452.7,-5009.1
2025-02-13 13:00:00,0.2618459354438416,7.25063551189868,0.0281444967413762,6.794586580876499,1.0,6.794586580876499,-715.0,-818.0,243.4,7428.9,-5012.3
2025-02-13 14:00:00,0.2525715719415036,7.20934025660291,0.023893398132578625,6.84587987526405,1.0,6.84587987526405,-686.6,-777.8,237.9,7454.5,-4996.3
2025-02-13 15:00:00,0.2784945727544228,7.1592919047975645,0.02186299306847772,7.025538314638521,1.0,7.025538314638521,-709.2,-660.5,389.4,7504.4,-5013.7
2025-02-13 16:00:00,0.3203064276364733,7.123672785204607,0.02716476902269349,7.253470382684528,1.0,7.253470382684528,-109.2,-423.5,0.0,7455.0,-5015.4
2025-02-13 17:00:00,0.403681432418904,7.117205503164344,0.028487284703173188,7.409136443920128,1.0,7.409136443920128,99.7,-349.4,0.0,7288.0,-4951.9
2025-02-13 18:00:00,0.443990434468037,7.135687347028144,0.038826394957474974,7.449498005382849,1.0,7.449498005382849,-115.0,-547.1,0.0,7683.5,-4915.1
2025-02-13 19:00:00,0.4967697774886135,7.124478262493424,0.03823032060481957,7.421177528595393,1.0,7.421177528595393,-715.0,-431.7,373.8,7656.9,-4921.9
2025-02-13 20:00:00,0.4768866901407103,7.069023426578259,0.038056771021009794,7.372118028337787,1.0,7.372118028337787,-715.0,-527.5,34.7,7711.7,-3527.2
2025-02-13 21:00:00,0.472994097177482,6.967909201801884,0.044398253568077806,7.331714969726466,1.0,7.331714969726466,-715.0,-616.8,0.0,7618.8,-3484.4
2025-02-13 22:00:00,0.4356367834181416,6.822197390620491,0.046369828556761306,7.305188215393037,1.0,7.305188215393037,-715.0,-959.2,0.0,7557.9,-3300.6
2025-02-13 23:00:00,0.5460451756343909,6.637258031284457,0.05102056221377005,7.297091005160418,1.0,7.297091005160418,-715.0,-1189.6,0.0,7713.6,-3384.2
