timestamp,spread_se2_se1,spread_se2_se3,price_se1_raw,price_se2_raw,price_se3_raw,wind_log,consump_log_ds,post_fbmc,wind_post_fbmc
2024-12-20 02:00:00,0.3200000000000003,-1.08,11.79,12.11,13.19,7.358830898342354,0.038471173742353315,1,7.358830898342354
2024-12-20 03:00:00,0.22000000000000064,-0.7400000000000002,9.09,9.31,10.05,7.406103381237015,0.04253157212416614,1,7.406103381237015
2024-12-20 04:00:00,0.26000000000000156,-0.8899999999999988,9.2,9.46,10.35,7.457609289715606,0.04169103140178443,1,7.457609289715606
2024-12-20 05:00:00,0.5400000000000009,-1.2599999999999998,10.42,10.96,12.22,7.518607216815252,0.05599459548551078,1,7.518607216815252
2024-12-20 06:00:00,3.0299999999999994,-18.240000000000002,5.59,8.62,26.86,7.5883236773352225,0.0755227924755113,1,7.5883236773352225
2024-12-20 07:00:00,3.459999999999999,-21.119999999999997,5.48,8.94,30.06,7.65728279297819,0.09565970027284187,1,7.65728279297819
2024-12-20 08:00:00,3.76,-22.78,5.59,9.35,32.13,7.748460023899697,0.09070817620766647,1,7.748460023899697
2024-12-20 09:00:00,4.079999999999999,-24.389999999999997,5.19,9.27,33.66,7.900636613018005,0.08556410186080754,1,7.900636613018005
2024-12-20 10:00:00,0.8700000000000001,-26.35,5.67,6.54,32.89,8.021256180143997,0.09039997127877353,1,8.021256180143997
2024-12-20 11:00:00,0.7399999999999993,-27.460000000000004,5.57,6.31,33.77,8.102283624480073,0.08030635917685913,1,8.102283624480073
2024-12-20 12:00:00,3.05,-25.83,5.3,8.35,34.18,8.156223323194624,0.08017934367787216,1,8.156223323194624
2024-12-20 13:00:00,-0.5,-28.739999999999995,5.99,5.49,34.23,8.201111644442758,0.06421698501180817,1,8.201111644442758
2024-12-20 14:00:00,-0.5299999999999994,-30.62,5.76,5.23,35.85,8.24354550792826,0.07727356871981517,1,8.24354550792826
2024-12-20 15:00:00,-0.6000000000000005,-34.07,5.53,4.93,39.0,8.284756593190435,0.07718654558147531,1,8.284756593190435
2024-12-20 16:00:00,-0.6099999999999994,-34.59,5.3,4.69,39.28,8.327967858305488,0.08219683574612802,1,8.327967858305488
2024-12-20 17:00:00,-0.6399999999999997,-34.71,5.04,4.4,39.11,8.365206834418355,0.07966268128288334,1,8.365206834418355
2024-12-20 18:00:00,-0.6099999999999994,-33.239999999999995,5.02,4.41,37.65,8.387312270561717,0.08052428399448175,1,8.387312270561717
2024-12-20 19:00:00,-0.6100000000000003,-31.77,5.17,4.56,36.33,8.389814262086407,0.07415254758945178,1,8.389814262086407
2024-12-20 20:00:00,-0.5499999999999998,-29.5,5.41,4.86,34.36,8.381831553485561,0.06937287465477926,1,8.381831553485561
2024-12-20 21:00:00,-0.4900000000000002,-26.950000000000003,5.63,5.14,32.09,8.366137716496281,0.0887831494901441,1,8.366137716496281
2024-12-20 22:00:00,-0.3799999999999999,-23.599999999999998,5.91,5.53,29.13,8.334951631422454,0.07944462266500985,1,8.334951631422454
2024-12-20 23:00:00,-0.17999999999999972,-13.41,6.72,6.54,19.95,8.286773231131251,0.08312745705846858,1,8.286773231131251
2024-12-21 00:00:00,0.08000000000000007,-2.01,9.35,9.43,11.44,8.098642843759418,0.09316454093459381,1,8.098642843759418
2024-12-21 01:00:00,0.17999999999999972,-12.01,9.85,10.03,22.04,7.975908360165538,0.09610150783523164,1,7.975908360165538
2024-12-21 02:00:00,0.22999999999999865,-10.48,10.13,10.36,20.84,7.836764783264067,0.10328344161613323,1,7.836764783264067
2024-12-21 03:00:00,0.9199999999999999,-1.4400000000000013,13.03,13.95,15.39,7.67786350067821,0.10526382063859696,1,7.67786350067821
2024-12-21 04:00:00,0.7899999999999991,-1.3100000000000005,12.46,13.25,14.56,7.450660796211539,0.10741334523297486,1,7.450660796211539
2024-12-21 05:00:00,0.9800000000000004,-1.5899999999999999,13.11,14.09,15.68,7.177782416195197,0.10356095640672791,1,7.177782416195197
2024-12-21 06:00:00,0.8300000000000001,-1.4800000000000004,12.99,13.82,15.3,6.923628628138427,0.10531469002965999,1,6.923628628138427
2024-12-21 07:00:00,1.08,-1.549999999999999,14.32,15.4,16.95,6.679599185844383,0.11661165241962124,1,6.679599185844383
2024-12-21 08:00:00,1.0299999999999994,-1.6400000000000006,15.72,16.75,18.39,6.456769655572163,0.1093822479302613,1,6.456769655572163
2024-12-21 09:00:00,0.7699999999999996,-6.52,19.55,20.32,26.84,6.249975242259483,0.10109779772949601,1,6.249975242259483
2024-12-21 10:00:00,-0.5199999999999996,-0.5799999999999983,28.73,28.21,28.79,6.0867747269123065,0.11267731801415426,1,6.0867747269123065
2024-12-21 11:00:00,0.8999999999999986,-9.130000000000003,20.89,21.79,30.92,5.968707559985366,0.11162140362039352,1,5.968707559985366
2024-12-21 12:00:00,0.5700000000000003,-7.279999999999998,22.39,22.96,30.24,5.937536205082426,0.1134979743328346,1,5.937536205082426
2024-12-21 13:00:00,-0.9299999999999997,-0.16999999999999815,29.57,28.64,28.81,5.998936561946683,0.11901240606660579,1,5.998936561946683
2024-12-21 14:00:00,-0.7100000000000009,-0.33999999999999986,26.16,25.45,25.79,6.202535517187923,0.12338768461294158,1,6.202535517187923
2024-12-21 15:00:00,-0.7899999999999991,-0.41000000000000014,27.65,26.86,27.27,6.4967749901858625,0.13035589457921049,1,6.4967749901858625
2024-12-21 16:00:00,0.9600000000000009,-9.34,18.98,19.94,29.28,6.799055862058796,0.10601340397729775,1,6.799055862058796
2024-12-21 17:00:00,1.0300000000000011,-9.36,18.36,19.39,28.75,7.075808863978387,0.11401452954835811,1,7.075808863978387
2024-12-21 18:00:00,1.2400000000000002,-9.91,15.62,16.86,26.77,7.299797366758161,0.10582501079941053,1,7.299797366758161
2024-12-21 19:00:00,1.4099999999999984,-1.709999999999999,14.46,15.87,17.58,7.4770384723196965,0.10544330230514642,1,7.4770384723196965
