zone,year,variable,adf_stat,adf_pval,adf_lags,adf_stationary,dfgls_stat,dfgls_pval,dfgls_stationary
SE3,2024,oil_log,-1.8261,0.3676,17,False,-1.5233,0.1242,False
SE3,2024,gas_log,-0.4317,0.9047,0,False,0.2193,0.7639,False
SE3,2024,netexch_dk1,-9.9242,0.0,29,True,-4.1128,0.0001,True
SE3,2024,netexch_fi,-8.4595,0.0,33,True,-3.8895,0.0001,True
SE3,2024,netexch_no1,-10.6897,0.0,26,True,-4.0218,0.0001,True
SE3,2024,netexch_se2,-7.4445,0.0,31,True,-2.3769,0.0176,True
SE3,2024,netexch_se4,-11.5123,0.0,29,True,-1.7171,0.0846,False
SE3,2025,price_ds,-10.6257,0.0,27,True,-8.7351,0.0,True
SE3,2025,wind_log,-10.1885,0.0,26,True,-6.0614,0.0,True
SE3,2025,hydro_log_ds,-4.9492,0.0,0,True,-3.3246,0.001,True
SE3,2025,consump_log_ds,-6.737,0.0,34,True,-6.7334,0.0,True
SE3,2025,oil_log,-2.0822,0.2517,37,False,-0.838,0.3624,False
SE3,2025,gas_log,-1.5019,0.5325,0,False,0.5924,0.8575,False
SE3,2025,netexch_dk1,-9.1242,0.0,30,True,-8.7236,0.0,True
SE3,2025,netexch_fi,-11.345,0.0,25,True,-6.5879,0.0,True
SE3,2025,netexch_no1,-10.847,0.0,37,True,-4.582,0.0,True
SE3,2025,netexch_se2,-8.311,0.0,32,True,-3.156,0.0017,True
SE3,2025,netexch_se4,-7.6396,0.0,31,True,-2.1951,0.0282,True
SE4,2015,price_ds,-10.2056,0.0,29,True,-7.0712,0.0,True
SE4,2015,wind_log,-10.2173,0.0,28,True,-7.4062,0.0,True
SE4,2015,hydro_log_ds,-4.6757,0.0001,24,True,-3.3733,0.0008,True
SE4,2015,consump_log_ds,-8.5352,0.0,30,True,-8.5267,0.0,True
SE4,2015,oil_log,-1.0008,0.753,3,False,-0.2068,0.6181,False
SE4,2015,gas_log,0.8876,0.9929,0,False,1.3868,0.9612,False
SE4,2015,netexch_dk2,-8.7729,0.0,33,True,-2.9732,0.0031,True
SE4,2015,netexch_ger,-10.7186,0.0,26,True,-4.7833,0.0,True
SE4,2015,netexch_pl,-10.1277,0.0,29,True,-1.4368,0.1457,False
SE4,2015,netexch_se3,-10.4175,0.0,34,True,-2.6799,0.0075,True
SE4,2016,price_ds,-8.1279,0.0,25,True,-7.3003,0.0,True
SE4,2016,wind_log,-8.8303,0.0,28,True,-8.6219,0.0,True
SE4,2016,hydro_log_ds,-5.744,0.0,0,True,-5.7397,0.0,True
SE4,2016,consump_log_ds,-7.9941,0.0,26,True,-7.9705,0.0,True
